"","party","parlgov_party_id","country_name_short","country_name","party_name_short","party_name_english","party_name","party_name_ascii","family_name_short","family_name","left_right","state_market","liberty_authority","eu_anti_pro","cmp","euprofiler","ees","castles_mair","huber_inglehart","ray","benoit_laver","chess","country_id","family_id"
"52","RKPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","RKSP",2539,"NLD","Netherlands","RKP","Roman Catholic Party","Roomsch Katholieke Partij","Roomsch Katholieke Partij","chr","Christian democracy",6.2,5.7,7.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,8,3
"54","RPF",212,"NLD","Netherlands","RPF","Reformatory Political Federation","Reformatorische Politieke Federati","Reformatorische Politieke Federati","chr","Christian democracy",8.2963,6,8.5455,3.5447,NA,NA,NA,1109,2608,1008,NA,1008,8,3
"55","Scholten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Scholten/Dijkman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","SDAP",1451,"NLD","Netherlands","SDAP","Social Democratic Workers' Party","Sociaal Democratische Arbeiders Partij","Sociaal Democratische Arbeiders Partij","soc","Social democracy",3.3,3.5,3.5,8.1,NA,NA,NA,NA,NA,NA,NA,NA,8,11
"58","SGP",1251,"NLD","Netherlands","SGP","Political Reformed Party","Staatkundig Gereformeerde Partij","Staatkundig Gereformeerde Partij","con","Conservative",8.7531,6.3487,9.7744,2.9307,NA,294,1528527,1110,2607,1006,7160,1019,8,26
"59","SP",357,"NLD","Netherlands","SP","Socialist Party","Socialistiese Partij","Socialistiese Partij","com","Communist/Socialist",1.2146,1.0421,4.2099,2.5049,22220,304,1528220,1101,NA,NA,7180,1014,8,14
"60","Ubels-Veen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Unie 55+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Van der Spek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Van Klaveren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Van Oudenallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Van Schijndel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Van Vliet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","VDB",944,"NLD","Netherlands","VDB","Free-thinking Democratic League","Vrijzinnig Democratische Bond","Vrijzinnig Democratische Bond","lib","Liberal",6,6.7,3.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,8,6
"68","Verdonk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Verkerk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Voogd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Vrijheidsbond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","VVD",1409,"NLD","Netherlands","VVD","People's Party for Freedom and Democracy","Volkspartij voor Vrijheid en Democratie","Volkspartij voor Vrijheid en Democratie","lib","Liberal",7.3482,7.8979,4.3887,5.9471,22420,305,1528420,1107,2605,1003,7200,1003,8,6
"73","Wagenaar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Wijnschenk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Wilders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
